# Coors Heavy 2026 — Thursday Men's E Rec D2, all at Stazio #2.
# Final: 8-4 overall (7-3 regular season). Playoff seeding was settled after
# the regular season, so the last two rows carry their real matchups now.
#
# date is ISO; the "Thu 5/14" display label is derived from it at import time.
# home: 1 when Coors Heavy is the home team. playoff: 1 for post-season games.
#
# Scores here are only used for games the database has no result for — results
# recorded on the site always win, so re-importing can't revert a correction.
date,time,opponent,home,location,played,us,them,playoff
2026-05-14,7:00 PM,Hailraisers,0,Stazio #2,1,13,12,0
2026-05-21,8:00 PM,Big Sticks,0,Stazio #2,1,3,13,0
2026-05-28,7:00 PM,The Slo Leftovers,1,Stazio #2,1,6,5,0
2026-06-04,6:00 PM,The Benchwarmers,0,Stazio #2,1,10,3,0
2026-06-11,6:00 PM,The MasterBatters,0,Stazio #2,1,11,1,0
2026-06-18,6:00 PM,Hailraisers,1,Stazio #2,1,5,6,0
2026-07-09,7:00 PM,The Slo Leftovers,0,Stazio #2,1,8,6,0
2026-07-16,8:00 PM,The Benchwarmers,1,Stazio #2,1,17,15,0
2026-07-23,7:00 PM,The MasterBatters,1,Stazio #2,1,14,3,0
2026-07-30,8:00 PM,Big Sticks,1,Stazio #2,1,17,19,0
2026-08-06,7:00 PM,Big Sticks,1,Stazio #2,1,15,20,1
2026-08-13,6:00 PM,The Slo Leftovers,1,Stazio #2,1,13,2,1
